Description,Menu ID,Type,Alias,Program,AON Equiv.,Who,Comp,CodePort,DocOut,Comments
Description Masterfile,IVM_DESCRIP1,T,IVM_DESCRIP1,,IVM.HA,NL/CLT,P,,,CLT
Warehouses,IVC_WHSECODE,T,IVC_WHSECODE,,IVM.CA,NL/CLT,P,,,CLT
Item Classes,IVM_CLASSES,T,IVC_CLASCODE,,IVM.DA,CLT,P,,,CLT 
Item Types,IVM_GA,T,IVC_TYPECODE,ivm_ga.aon,IVM.GA,CLT,P,,,
Parameters,IVMENU_PARAMS,G,ARS_PARAMS,,,,,,,
Application Parameters,IV_APPPARAMS,T,IVS_PARAMS,,IVP.AA,CLT,P,,,
Inventory Factors,IV_INVFACTORS,T,,,IVP.AA,,P,,,
New Item Defaults,IV_ITEMDEFAULTS,T,,,IVP.AA,,P,,,
Default Display Columns,IV_DEFAULTCOLS,T,IVS_COLUMNS,,IVP.AA,CLT,P, ,,"New table, IVC_ACTIVYPES in version 8 to replace hard-coding in prev. versions - not maintainable by the user, but accessed from this form"
Utilities,IVMENU_UTILITIES,G,,,,,,,,
Rebuild Cross References,IVX_CROSSREF,A,IVX_CROSSREF,,IVX.AA,,,,,
Rebuild Lot/Serial Cross References,IVX_LSXREFS,T,IVX_LSXREFS,,IVX.UA,,,,,
Rebuild Lot/Serial Transaction Cross References,IVX_LSTRANS,T,IVX_LSTRANS,,IVX.HA,,,,,
Rebuild Committed Quantities,IVX_COMMITTED,T,IVX_COMMITTED,,IVX.CA,BJ-BP,P,Y,,
Rebuild On Order Quantities,IVX_ONORDER,T,IVX_ONORDER,,IVX.EA,BJ-BP,P,Y,,
Rebuild Beginning Balances,IVX_BEGBALS,T,IVX_BEGBALS,,IVX.BA,BJ-BP,P,Y,,
LIFO/FIFO Tier Maintenance,IVX_LIFOFIFO,T,IVX_LIFOFIFO,,IVX.FA,,,,,
Copy Items to Another Warehouse,IVX_COPYITEM,T,IVX_COPYITEM,,IVX.DA,,,,,
Rebuild Unit Costs,IVX_REBUILDCOSTS,A,,ivx_rebuildcosts.aon,IVX.IA,JL?,P,,,
Purchase Order Processing,POMENU,M,,,,,,,,
Replenishment Selection,POE_FA,T,,poe_fa.aon,POE.FA,,,,,
Replenishment Register,POR_FA,T,,por_fa.aon,POR.FA,PPT-BP,P,Y,Y,POR.FB
Purchase Requisition Entry,POE_AA,T,,poe_aa.aon,POE.AA,,,,,
Print Purchase Requisitions,POR_XA,T,,por_xa.aon,POR.XA,PPT-BP,P,Y,Y,POR.BB
Purchase Requisition Register,POR_AA,T,,por_aa.aon,POR.AA,PPT-BP,P,Y,Y,POR.AB
Purchase Order Entry,POE_BA,T,,poe_ba.aon,POE.BA,,,,,
Print Purchase Orders,POR_BA,T,,por_ba.aon,POR.BA,PPT-BP,P,Y,,POR.BB
Quality Assurance Receipt Entry,POE_CA,T,,poe_ca.aon,POE.CA,,,,,
Quality Assurance Receipt Register,POR_CA,T,,por_ca.aon,POR.CA,PPT-BP,P,Y,Y,POR.CB
Purchase Order Receipt Entry,POE_DA,T,,poe_da.aon,POE.DA,,,,,
Purchase Order Receipt Register,POR_DA,T,,por_da.aon,POR.DA,PPT-BP,P,Y,Y,POR.DB
Purchase Order Invoice Entry,POE_EA,T,,poe_ea.aon,POE.EA,,,,,
Purchase Order Invoice Register,POR_EA,T,,por_ea.aon,POR.EA,PPT-BP,P,Y,Y,POR.EB
Reports,POMENU_REPORTS,G,,,,,,,,
Open Purchase Requisition Report,POR_GA,T,,por_ga.aon,POR.GA,PPT-BP,P,Y,Y,POR.GB
Requisitions By Item Report,POR_HA,T,,por_ha.aon,POR.HA,PPT-BP,P,Y,Y,POR.HB
Open Purchase Order Report,POR_IA,T,,por_ia.aon,POR.IA,PPT-BP,P,Y,Y,POR.IB
Purchase Orders By Item Report,POR_JA,T,,por_ja.aon,POR.JA,PPT-BP,P,Y,Y,POR.JB
Purchase Order Expediting Report,POR_KA,T,,por_ka.aon,POR.KA,PPT-BP,P,Y,Y,POR.KB
Purchase Order Status Report,POR_LA,T,,por_la.aon,POR.LA,PPT-BP,P,Y,Y,POR.LB
PO Cash Requirements Report,POR_MA,T,,por_ma.aon,POR.MA,PPT-BP,P,Y,Y,POR.MB
Billed/Unbilled PO Receipts Report,POR_TA,T,,por_ta.aon,POR.TA,PPT-BP,P,Y,Y,POR.TB
PO Receipt Variance Report,POR_NA,T,,por_na.aon,POR.NA,PPT-BP,P,Y,Y,POR.NB
PO Receipt Cost Variance Report,POR_OA,T,,por_oa.aon,POR.OA,PPT-BP,P,Y,Y,POR.OB
PO Receipt History By Vendor Report,POR_PA,T,,por_pa.aon,POR.PA,PPT-BP,P,Y,Y,"POR.PB, POR.PC"
PO Receipt History By Item Report,POR_QA,T,,por_qa.aon,POR.QA,PPT-BP,P,Y,Y,POR.QB
QA Work In Process Report,POR_RA,T,,por_ra.aon,POR.RA,PPT-BP,P,Y,Y,POR.RB
QA Rejection History Report,POR_SA,T,,por_sa.aon,POR.SA,PPT-BP,P,Y,Y,POR.SB
Period End Processing,POMENU_PEND,G,,,,,,,,
Purge PO Receipt History,POU_FA,T,,pou_fa.aon,POU.FA,PPT-BP,P,Y,,
Purge Rejection History,POU_HA,T,,pou_ha.aon,POU.HA,PPT-BP,P,Y,,
Maintenance,POMENU_MAINT,G,,,,,,,,
Create Purchase Calendar,POM_AA,T,,pom_aa.aon,POM.AA,PPT-BP,P,Y,,
Purchase Calendar Maint,POM_BA,T,,pom_ba.aon,POM.BA,,,,,
Print Purchase Calendar,POR_UA,T,,por_ua.aon,POR.UA,PPT-BP,P,Y,Y,
Purge Purchase Calendar,POU_GA,T,,pou_ga.aon,POU.GA,PPT-BP,P,Y,,
Line Codes,POM_CA,T,POC_LINECODE,pom_ca.aon,POM.CA,CLT,P,,,
Message Codes,POC_MSGCODE,T,POC_MSGCODE,,POM.DA,CLT,P,,,also POC_MSGLINE is done
Rejection Codes,POM_FA,T,POC_REJCTCOD,pom_fa.aon,POM.FA,CLT,P,,,
Parameters,POMENU_PARAMS,G,ARS_PARAMS,,,,,,,
Application Parameters,PO_APP_PARAMS,T,POS_PARAMS,,POP.AA,CLT,Y,,,col D was IVS_PARAMS
Default Values,PO_DEFAULTVALS,T,,,POP.AA,,,,,
Utilities,POMENU_UTILITIES,G,,,,,,,,
Rebuild Cross References,POX_CROSSREF,A,POX_CROSSREF,,POX.AA,,,,,
Rebuild History Cross References,POX_HISTXREF,A,POX_HISTXREF,,POX.CA,,,
Remove Unlinked Detail Lines,POX_UNLINKED,T,POX_UNLINKED,,POX.BA,PPT-BP,P,Y
Sales Analysis,SAMENU,M,,,,,,
By Customer,SAM_AA,T,,sam_aa.aon,SAM.AA,JB,P,
By Territory,SAM_BA,T,,sam_ba.aon,SAM.BA,JB,Y,
